,Poll,Date,Sample,Clinton,Edwards,Obama,Richardson,Spread,Days_Out
84,Zogby,2007-05-16,503.0,23.0,11.0,24.0,8,Obama +1,237.0
85,SurveyUSA,2007-05-06,589.0,40.0,22.0,24.0,--,Clinton +16,247.0
86,American Res. Group,2007-04-29,600.0,37.0,26.0,14.0,3,Clinton +11,254.0
87,Zogby,2007-04-03,,29.0,23.0,23.0,2,Clinton +6,280.0
88,CNN,2007-04-02,339.0,27.0,21.0,20.0,4,Clinton +6,281.0
89,American Res. Group,2007-03-22,600.0,37.0,20.0,23.0,2,Clinton +14,292.0
90,Franklin Pierce,2007-03-11,401.0,32.0,16.0,25.0,3,Clinton +7,303.0
91,Suffolk University,2007-02-28,212.0,28.0,17.0,26.0,2,Clinton +2,314.0
92,Zogby,2007-02-08,502.0,27.0,13.0,23.0,3,Clinton +4,334.0
93,CNN,2007-02-05,353.0,35.0,16.0,21.0,1,Clinton +14,337.0
94,American Res. Group,2007-02-01,600.0,39.0,13.0,19.0,2,Clinton +20,341.0
95,SurveyUSA,2007-01-28,582.0,40.0,23.0,25.0,--,Clinton +15,345.0
96,Zogby,2007-01-17,502.0,19.0,19.0,23.0,1,Obama +4,356.0
97,American Res. Group,2006-12-27,600.0,24.0,21.0,25.0,2,Obama +1,377.0
98,Research 2000,2006-12-20,400.0,22.0,16.0,21.0,2,Clinton +1,384.0
