,Poll,Date,Sample,MoE,Obama (D),Romney (R),Spread,Days_Out
217,Rasmussen Reports,2011-12-01,1000.0,3.0,42.0,40.0,Obama +2,341.0
218,Rasmussen Reports,2011-11-22,1000.0,3.0,44.0,38.0,Obama +6,350.0
219,Quinnipiac,2011-11-20,2552.0,1.9,45.0,44.0,Obama +1,352.0
220,FOX News,2011-11-15,914.0,3.0,42.0,44.0,Romney +2,357.0
221,CNN,2011-11-13,925.0,3.0,47.0,51.0,Romney +4,359.0
222,Pew Research,2011-11-14,1576.0,3.0,49.0,47.0,Obama +2,358.0
223,PPP(D),2011-11-13,800.0,3.5,46.0,43.0,Obama +3,359.0
224,Rasmussen Reports,2011-11-10,1000.0,3.0,43.0,42.0,Obama +1,362.0
225,McClatchy,2011-11-10,872.0,3.5,48.0,44.0,Obama +4,362.0
226,Politico,2011-11-09,1000.0,3.1,49.0,43.0,Obama +6,363.0
227,NBC News,2011-11-05,,--,49.0,43.0,Obama +6,367.0
228,ABC News,2011-11-03,,--,46.0,47.0,Romney +1,369.0
229,Reuters,2011-11-03,937.0,3.2,43.0,44.0,Romney +1,369.0
230,Rasmussen Reports,2011-11-02,1000.0,3.0,42.0,41.0,Obama +1,370.0
231,Quinnipiac,2011-10-31,2294.0,2.1,47.0,42.0,Obama +5,372.0
232,USA Today,2011-10-27,908.0,4.0,47.0,47.0,Tie,376.0
233,Rasmussen Reports,2011-10-25,1000.0,3.0,42.0,44.0,Romney +2,378.0
234,Democracy Corps (D),2011-10-18,1000.0,--,45.0,45.0,Tie,385.0
235,Rasmussen Reports,2011-10-17,1000.0,3.0,43.0,42.0,Obama +1,386.0
236,Associated Press,2011-10-17,1000.0,4.0,48.0,45.0,Obama +3,386.0
237,Time,2011-10-10,838.0,--,48.0,44.0,Obama +4,393.0
238,PPP(D),2011-10-10,700.0,3.7,45.0,45.0,Tie,393.0
239,NBC News,2011-10-10,,--,46.0,44.0,Obama +2,393.0
240,Rasmussen Reports,2011-10-09,1000.0,3.0,43.0,41.0,Obama +2,394.0
241,Quinnipiac,2011-10-03,2118.0,2.1,42.0,46.0,Romney +4,400.0
242,ABC News,2011-10-02,,--,46.0,48.0,Romney +2,401.0
243,Pew Research,2011-10-04,1901.0,3.0,48.0,48.0,Tie,399.0
244,Rasmussen Reports,2011-09-29,1000.0,3.0,42.0,44.0,Romney +2,404.0
245,FOX News,2011-09-27,925.0,3.0,45.0,42.0,Obama +3,406.0
246,CNN,2011-09-25,917.0,3.0,49.0,48.0,Obama +1,408.0
247,Rasmussen Reports,2011-09-19,1000.0,3.0,44.0,41.0,Obama +3,414.0
248,USA Today,2011-09-18,889.0,4.0,47.0,49.0,Romney +2,415.0
249,McClatchy,2011-09-14,825.0,3.5,46.0,44.0,Obama +2,419.0
250,Bloomberg,2011-09-12,997.0,3.1,48.0,43.0,Obama +5,421.0
251,Reuters,2011-09-12,932.0,3.1,49.0,43.0,Obama +6,421.0
252,Rasmussen Reports,2011-09-11,1000.0,3.0,40.0,43.0,Romney +3,422.0
253,PPP(D),2011-09-11,665.0,3.8,49.0,45.0,Obama +4,422.0
254,ABC News,2011-09-01,,--,45.0,49.0,Romney +4,432.0
255,NBC News,2011-08-31,,--,46.0,45.0,Obama +1,433.0
256,Rasmussen Reports,2011-08-26,1000.0,3.0,43.0,39.0,Obama +4,438.0
257,Quinnipiac,2011-08-27,2730.0,1.9,45.0,45.0,Tie,437.0
258,PPP(D),2011-08-21,700.0,3.7,45.0,45.0,Tie,443.0
259,Rasmussen Reports,2011-08-21,1000.0,3.0,46.0,38.0,Obama +8,443.0
260,Gallup,2011-08-18,879.0,4.0,46.0,48.0,Romney +2,446.0
261,Democracy Corps (D),2011-08-10,1000.0,3.0,48.0,46.0,Obama +2,454.0
262,CNN,2011-08-07,930.0,3.0,49.0,48.0,Obama +1,457.0
263,McClatchy,2011-08-04,807.0,3.5,46.0,41.0,Obama +5,460.0
264,FOX News,2011-07-19,904.0,3.0,47.0,41.0,Obama +6,476.0
265,ABC News,2011-07-17,,--,49.0,47.0,Obama +2,478.0
266,NBC News,2011-07-17,,--,48.0,41.0,Obama +7,478.0
267,PPP(D),2011-07-17,928.0,3.2,45.0,45.0,Tie,478.0
268,Rasmussen Reports,2011-07-15,1000.0,3.0,42.0,43.0,Romney +1,480.0
269,Quinnipiac,2011-07-11,2311.0,2.0,47.0,41.0,Obama +6,484.0
270,McClatchy,2011-06-23,390.0,5.0,46.0,42.0,Obama +4,502.0
271,Democracy Corps (D),2011-06-21,1000.0,3.0,47.0,45.0,Obama +2,504.0
272,NBC News,2011-06-13,,3.1,49.0,43.0,Obama +6,512.0
273,PPP(D),2011-06-12,520.0,4.3,47.0,45.0,Obama +2,513.0
274,FOX News,2011-06-07,912.0,3.0,48.0,41.0,Obama +7,518.0
275,Reuters,2011-06-06,1132.0,3.0,51.0,38.0,Obama +13,519.0
276,ABC News,2011-06-05,,3.5,46.0,49.0,Romney +3,520.0
277,Quinnipiac,2011-06-06,1946.0,2.2,47.0,41.0,Obama +6,519.0
278,PPP(D),2011-05-25,600.0,4.0,49.0,42.0,Obama +7,531.0
279,Democracy Corps (D),2011-05-25,1000.0,3.0,48.0,44.0,Obama +4,531.0
280,Politico,2011-05-12,1000.0,3.1,52.0,40.0,Obama +12,544.0
281,Reuters,2011-05-09,600.0,--,51.0,38.0,Obama +13,547.0
282,PPP(D),2011-05-08,814.0,3.4,47.0,42.0,Obama +5,548.0
283,Newsweek,2011-05-03,600.0,3.0,42.0,36.0,Obama +6,553.0
284,Newsweek,2011-05-01,600.0,3.0,44.0,44.0,Tie,555.0
285,CNN,2011-05-01,964.0,3.0,54.0,43.0,Obama +11,555.0
286,ABC News,2011-04-17,1001.0,3.5,49.0,45.0,Obama +4,569.0
287,McClatchy,2011-04-14,532.0,4.5,46.0,45.0,Obama +1,572.0
288,Democracy Corps (D),2011-04-12,1000.0,3.1,46.0,48.0,Romney +2,574.0
289,PPP(D),2011-04-10,532.0,4.3,47.0,41.0,Obama +6,576.0
290,PPP(D),2011-03-13,642.0,3.9,47.0,42.0,Obama +5,604.0
291,Rasmussen Reports,2011-03-09,2000.0,2.0,45.0,40.0,Obama +5,608.0
292,NBC News,2011-02-28,,--,49.0,40.0,Obama +9,617.0
293,Newsweek,2011-02-15,918.0,3.5,49.0,47.0,Obama +2,630.0
294,PPP(D),2011-02-14,600.0,4.0,46.0,41.0,Obama +5,631.0
295,FOX News,2011-02-09,911.0,3.0,48.0,41.0,Obama +7,636.0
296,PPP(D),2011-01-16,632.0,3.9,48.0,43.0,Obama +5,660.0
297,Democracy Corps (D),2011-01-12,1000.0,3.0,48.0,46.0,Obama +2,664.0
298,McClatchy,2011-01-10,827.0,3.5,51.0,38.0,Obama +13,666.0
299,Rasmussen Reports,2011-01-06,2000.0,--,42.0,44.0,Romney +2,670.0
300,NBC News,2010-12-13,1000.0,3.1,47.0,40.0,Obama +7,694.0
301,McClatchy,2010-12-08,873.0,3.5,44.0,46.0,Romney +2,699.0
302,PPP(D),2010-11-21,707.0,3.7,47.0,46.0,Obama +1,716.0
303,Quinnipiac,2010-11-15,2424.0,2.0,44.0,45.0,Romney +1,722.0
304,CNN,2010-10-30,921.0,3.0,45.0,50.0,Romney +5,738.0
305,FOX News,2010-09-29,900.0,3.0,41.0,40.0,Obama +1,769.0
306,PPP(D),2010-09-13,590.0,4.0,46.0,43.0,Obama +3,785.0
307,PPP(D),2010-08-09,606.0,4.0,45.0,42.0,Obama +3,820.0
308,PPP(D),2010-07-12,667.0,3.8,43.0,46.0,Romney +3,848.0
309,PPP(D),2010-06-07,650.0,3.8,45.0,42.0,Obama +3,883.0
310,PPP(D),2010-05-09,707.0,3.7,46.0,44.0,Obama +2,912.0
311,PPP(D),2010-04-11,622.0,3.9,44.0,45.0,Romney +1,940.0
312,CNN,2010-04-11,907.0,3.5,53.0,45.0,Obama +8,940.0
313,PPP(D),2010-03-14,1403.0,2.6,44.0,44.0,Tie,968.0
314,PPP(D),2010-02-15,743.0,3.6,45.0,43.0,Obama +2,995.0
315,PPP(D),2010-01-19,1151.0,2.8,44.0,42.0,Obama +2,1022.0
316,FOX News,2010-01-14,900.0,3.0,47.0,35.0,Obama +12,1027.0
317,PPP(D),2010-12-07,1253.0,2.8,47.0,42.0,Obama +5,700.0
318,Rasmussen Reports,2010-11-24,800.0,3.5,44.0,44.0,Tie,713.0
319,PPP(D),2010-11-15,1066.0,3.0,48.0,43.0,Obama +5,722.0
320,PPP(D),2010-10-19,766.0,3.5,48.0,40.0,Obama +8,749.0
321,PPP(D),2010-09-21,621.0,3.9,48.0,39.0,Obama +9,777.0
322,PPP(D),2010-08-17,909.0,3.3,47.0,40.0,Obama +7,812.0
323,Rasmussen Reports,2010-07-17,1000.0,3.0,45.0,45.0,Tie,843.0
324,PPP(D),2010-07-16,577.0,4.1,49.0,40.0,Obama +9,844.0
325,PPP(D),2010-06-16,638.0,3.9,48.0,40.0,Obama +8,874.0
326,PPP(D),2010-05-18,1000.0,3.1,53.0,35.0,Obama +18,903.0
327,PPP(D),2010-04-19,686.0,3.7,50.0,39.0,Obama +11,932.0
