,Poll,Date,Sample,MoE,Obama (D),McCain (R),Spread,Days_Out
45,Associated Press,2008-10-20,800.0,3.5,44.0,43.0,Obama +1,15.0
46,Ipsos,2008-10-20,773.0,3.5,50.0,42.0,Obama +8,15.0
47,CNN,2008-10-19,764.0,3.5,51.0,46.0,Obama +5,16.0
48,Pew Research,2008-10-19,2382.0,2.5,53.0,39.0,Obama +14,16.0
49,Rasmussen Reports,2008-10-18,3000.0,2.0,51.0,45.0,Obama +6,17.0
50,Gallup (Traditional),2008-10-18,2590.0,2.0,49.0,46.0,Obama +3,17.0
51,Gallup (Expanded),2008-10-18,2277.0,2.0,51.0,44.0,Obama +7,17.0
52,Diageo,2008-10-18,785.0,3.5,48.0,41.0,Obama +7,17.0
53,Reuters,2008-10-18,1211.0,2.9,48.0,45.0,Obama +3,17.0
54,Democracy Corps (D),2008-10-19,1000.0,--,50.0,46.0,Obama +4,16.0
55,GWU,2008-10-19,1000.0,3.1,49.0,45.0,Obama +4,16.0
56,F&M,2008-10-19,,3.5,50.0,45.0,Obama +5,16.0
57,IBD,2008-10-18,1072.0,3.0,47.0,42.0,Obama +5,17.0
58,Rasmussen Reports,2008-10-13,3000.0,2.0,50.0,45.0,Obama +5,22.0
59,Diageo,2008-10-13,829.0,3.4,48.0,42.0,Obama +6,22.0
60,Reuters,2008-10-13,1208.0,2.9,49.0,43.0,Obama +6,22.0
61,Gallup (Traditional),2008-10-13,2140.0,2.0,51.0,45.0,Obama +6,22.0
62,Gallup (Expanded),2008-10-13,2289.0,2.0,53.0,43.0,Obama +10,22.0
63,LA Times,2008-10-13,1030.0,3.0,50.0,41.0,Obama +9,22.0
64,CBS News,2008-10-13,699.0,--,53.0,39.0,Obama +14,22.0
65,GWU,2008-10-13,800.0,3.5,53.0,40.0,Obama +13,22.0
66,IBD,2008-10-13,884.0,3.5,45.0,42.0,Obama +3,22.0
67,USA Today,2008-10-12,761.0,4.0,50.0,46.0,Obama +4,23.0
68,USA Today,2008-10-12,1030.0,3.0,52.0,45.0,Obama +7,23.0
69,Pew Research,2008-10-12,1191.0,--,49.0,42.0,Obama +7,23.0
70,Ipsos,2008-10-13,1036.0,3.0,48.0,39.0,Obama +9,22.0
71,Democracy Corps (D),2008-10-12,1000.0,--,51.0,42.0,Obama +9,23.0
72,ABC News,2008-10-11,766.0,3.5,53.0,43.0,Obama +10,24.0
73,FOX News,2008-10-09,900.0,3.0,46.0,39.0,Obama +7,26.0
74,Newsweek,2008-10-09,1035.0,3.7,52.0,41.0,Obama +11,26.0
75,Rasmussen Reports,2008-10-09,3000.0,2.0,50.0,45.0,Obama +5,26.0
76,Gallup,2008-10-09,2784.0,2.0,51.0,41.0,Obama +10,26.0
77,Hotline,2008-10-09,838.0,2.0,48.0,41.0,Obama +7,26.0
78,Reuters,2008-10-09,1200.0,4.2,48.0,43.0,Obama +5,26.0
79,GWU,2008-10-09,800.0,3.5,51.0,43.0,Obama +8,26.0
80,Time,2008-10-06,1053.0,--,50.0,44.0,Obama +6,29.0
81,NBC News,2008-10-05,658.0,3.8,49.0,43.0,Obama +6,30.0
82,CBS News,2008-10-05,616.0,--,48.0,45.0,Obama +3,30.0
83,CNN,2008-10-05,694.0,3.5,53.0,45.0,Obama +8,30.0
84,Ipsos,2008-10-06,858.0,3.3,47.0,40.0,Obama +7,29.0
85,Democracy Corps (D),2008-10-05,1000.0,--,49.0,46.0,Obama +3,30.0
86,Marist,2008-09-30,943.0,--,49.0,44.0,Obama +5,35.0
87,CBS News,2008-09-30,769.0,--,50.0,41.0,Obama +9,35.0
88,Associated Press,2008-09-30,808.0,3.4,48.0,41.0,Obama +7,35.0
89,ABC News,2008-09-29,916.0,3.0,50.0,46.0,Obama +4,36.0
90,Pew Research,2008-09-29,1181.0,4.0,49.0,43.0,Obama +6,36.0
91,Ipsos,2008-09-29,1007.0,3.1,48.0,45.0,Obama +3,36.0
92,Time,2008-09-29,1133.0,--,50.0,43.0,Obama +7,36.0
93,Gallup Tracking,2008-09-26,2759.0,2.0,49.0,44.0,Obama +5,39.0
94,Rasmussen Reports,2008-09-26,3000.0,2.0,50.0,44.0,Obama +6,39.0
95,Hotline,2008-09-26,914.0,3.3,48.0,43.0,Obama +5,39.0
96,GWU,2008-09-25,1000.0,3.3,46.0,48.0,McCain +2,40.0
97,CBS News,2008-09-24,,4.0,48.0,43.0,Obama +5,41.0
98,FOX News,2008-09-23,900.0,3.0,45.0,39.0,Obama +6,42.0
99,Marist,2008-09-23,689.0,4.0,49.0,44.0,Obama +5,42.0
100,NBC News,2008-09-22,1085.0,3.0,48.0,46.0,Obama +2,43.0
101,ABC News,2008-09-22,780.0,3.5,52.0,43.0,Obama +9,43.0
102,LA Times,2008-09-22,838.0,--,49.0,45.0,Obama +4,43.0
103,Ipsos,2008-09-22,923.0,3.2,44.0,43.0,Obama +1,43.0
104,CNN,2008-09-21,697.0,3.0,51.0,47.0,Obama +4,44.0
105,F&M,2008-09-21,1138.0,3.0,45.0,47.0,McCain +2,44.0
106,Gallup Tracking,2008-09-17,2815.0,2.0,48.0,44.0,Obama +4,48.0
107,Rasmussen Reports,2008-09-17,3000.0,2.0,48.0,48.0,Tie,48.0
108,Hotline,2008-09-17,912.0,3.2,46.0,42.0,Obama +4,48.0
109,GWU,2008-09-18,800.0,3.0,47.0,47.0,Tie,47.0
110,CBS News,2008-09-16,,3.0,49.0,44.0,Obama +5,49.0
111,Quinnipiac,2008-09-16,987.0,3.1,49.0,45.0,Obama +4,49.0
112,Pew Research,2008-09-14,2307.0,--,46.0,46.0,Tie,51.0
113,Reuters,2008-09-13,1008.0,3.1,47.0,45.0,Obama +2,52.0
114,Newsweek,2008-09-11,1038.0,3.8,46.0,46.0,Tie,54.0
115,GWU,2008-09-11,1000.0,3.1,44.0,48.0,McCain +4,54.0
116,Associated Press,2008-09-10,812.0,--,44.0,48.0,McCain +4,55.0
117,FOX News,2008-09-09,900.0,3.0,42.0,45.0,McCain +3,56.0
118,Gallup Tracking,2008-09-09,2714.0,2.0,43.0,48.0,McCain +5,56.0
119,Rasmussen Reports,2008-09-09,3000.0,2.0,48.0,47.0,Obama +1,56.0
120,Hotline,2008-09-09,902.0,3.2,45.0,45.0,Tie,56.0
121,NBC News,2008-09-08,860.0,3.3,46.0,45.0,Obama +1,57.0
122,ABC News,2008-09-07,,3.0,47.0,49.0,McCain +2,58.0
123,USA Today,2008-09-07,823.0,4.0,44.0,54.0,McCain +10,58.0
124,CBS News,2008-09-07,655.0,4.0,44.0,46.0,McCain +2,58.0
125,CNN,2008-09-07,942.0,3.0,48.0,48.0,Tie,58.0
126,IBD,2008-09-07,868.0,3.3,45.0,40.0,Obama +5,58.0
127,CBS News,2008-09-03,734.0,3.0,42.0,42.0,Tie,62.0
128,Gallup Tracking,2008-09-01,2772.0,2.0,50.0,42.0,Obama +8,64.0
129,Rasmussen Reports,2008-09-01,3000.0,2.0,51.0,45.0,Obama +6,64.0
130,USAT,2008-08-31,1835.0,3.0,50.0,43.0,Obama +7,65.0
131,CNN,2008-08-31,927.0,3.0,49.0,48.0,Obama +1,65.0
132,Hotline,2008-08-31,805.0,3.5,48.0,39.0,Obama +9,65.0
133,CBS News,2008-08-31,781.0,4.0,48.0,40.0,Obama +8,65.0
134,Gallup Tracking,2008-08-25,2784.0,2.0,44.0,46.0,McCain +2,71.0
135,Rasmussen Reports,2008-08-25,3000.0,3.0,46.0,46.0,Tie,71.0
136,CNN,2008-08-24,909.0,3.5,47.0,47.0,Tie,72.0
137,Hotline,2008-08-24,1022.0,3.0,44.0,40.0,Obama +4,72.0
138,USA Today,2008-08-23,765.0,4.0,48.0,45.0,Obama +3,73.0
139,ABC News,2008-08-22,,--,49.0,45.0,Obama +4,74.0
140,FOX News,2008-08-20,900.0,3.0,42.0,39.0,Obama +3,76.0
141,CBS News,2008-08-19,869.0,3.0,45.0,42.0,Obama +3,77.0
142,NBC News,2008-08-18,1005.0,3.1,45.0,42.0,Obama +3,78.0
143,LA Times,2008-08-18,1248.0,--,45.0,43.0,Obama +2,78.0
144,Gallup Tracking,2008-08-17,2660.0,2.0,46.0,43.0,Obama +3,79.0
145,Rasmussen Reports,2008-08-17,3000.0,2.0,47.0,46.0,Obama +1,79.0
146,Reuters,2008-08-16,1089.0,3.0,41.0,46.0,McCain +5,80.0
147,Quinnipiac,2008-08-17,1547.0,2.5,47.0,42.0,Obama +5,79.0
148,Battleground,2008-08-14,1000.0,3.1,46.0,47.0,McCain +1,82.0
149,IBD,2008-08-09,856.0,--,43.0,38.0,Obama +5,87.0
150,Pew Research,2008-08-10,2414.0,3.0,46.0,43.0,Obama +3,86.0
151,CBS News,2008-08-05,906.0,--,45.0,39.0,Obama +6,91.0
152,Gallup Tracking,2008-08-03,2659.0,--,46.0,43.0,Obama +3,93.0
153,Rasmussen Reports,2008-08-03,3000.0,2.0,46.0,47.0,McCain +1,93.0
154,Time,2008-08-04,808.0,3.5,46.0,41.0,Obama +5,92.0
155,AP-Ipsos,2008-08-04,833.0,--,48.0,42.0,Obama +6,92.0
156,CNN,2008-07-29,914.0,3.0,51.0,44.0,Obama +7,98.0
157,USA Today,2008-07-27,791.0,4.0,45.0,49.0,McCain +4,100.0
158,Pew Research,2008-07-27,1241.0,--,47.0,42.0,Obama +5,100.0
159,Democracy Corps (D),2008-07-24,1004.0,--,50.0,45.0,Obama +5,103.0
160,FOX News,2008-07-23,900.0,3.0,41.0,40.0,Obama +1,104.0
161,NBC News,2008-07-21,1003.0,--,47.0,41.0,Obama +6,106.0
162,Gallup Tracking,2008-07-15,2638.0,2.0,47.0,44.0,Obama +3,112.0
163,Rasmussen Reports,2008-07-15,3000.0,2.0,48.0,45.0,Obama +3,112.0
164,CBS News,2008-07-14,1462.0,3.0,45.0,39.0,Obama +6,113.0
165,ABC News,2008-07-13,,--,49.0,46.0,Obama +3,114.0
166,Reuters,2008-07-13,1039.0,3.1,47.0,40.0,Obama +7,114.0
167,Quinnipiac,2008-07-13,1725.0,2.4,50.0,41.0,Obama +9,114.0
168,IBD,2008-07-11,854.0,--,40.0,37.0,Obama +3,116.0
169,Newsweek,2008-07-10,1037.0,3.6,44.0,41.0,Obama +3,117.0
170,Gallup,2008-07-02,2641.0,2.0,47.0,43.0,Obama +4,125.0
171,Rasmussen Reports,2008-07-01,3000.0,2.0,49.0,44.0,Obama +5,126.0
172,CNN,2008-06-29,906.0,3.5,50.0,45.0,Obama +5,128.0
173,McLaughlin (R),2008-06-29,1000.0,--,46.0,38.0,Obama +8,128.0
174,Pew Research,2008-06-29,1574.0,--,48.0,40.0,Obama +8,128.0
175,Democracy Corps (D),2008-06-25,2000.0,--,49.0,45.0,Obama +4,132.0
176,Time,2008-06-25,805.0,3.5,47.0,43.0,Obama +4,132.0
177,LA Times,2008-06-23,1115.0,--,49.0,37.0,Obama +12,134.0
178,F&M,2008-06-22,1501.0,2.5,42.0,36.0,Obama +6,135.0
179,Newsweek,2008-06-19,896.0,4.0,51.0,36.0,Obama +15,138.0
180,FOX News,2008-06-18,900.0,--,45.0,41.0,Obama +4,139.0
181,USA Today,2008-06-19,1310.0,--,50.0,44.0,Obama +6,138.0
182,ABC News,2008-06-15,,3.0,49.0,45.0,Obama +4,142.0
183,Cook,2008-06-15,880.0,3.3,44.0,40.0,Obama +4,142.0
184,Reuters,2008-06-14,1113.0,3.0,47.0,42.0,Obama +5,143.0
185,Ipsos,2008-06-11,,--,50.0,43.0,Obama +7,146.0
186,Rasmussen Reports,2008-06-10,3000.0,2.0,49.0,44.0,Obama +5,147.0
187,Gallup,2008-06-09,2633.0,2.0,48.0,41.0,Obama +7,148.0
188,NBC News,2008-06-09,1000.0,3.1,47.0,41.0,Obama +6,148.0
189,Hotline,2008-06-08,806.0,3.5,44.0,42.0,Obama +2,149.0
190,IBD,2008-06-08,916.0,--,43.0,40.0,Obama +3,149.0
191,CNN,2008-06-05,921.0,--,49.0,46.0,Obama +3,152.0
192,CBS News,2008-06-03,930.0,--,48.0,42.0,Obama +6,154.0
193,USA Today,2008-06-01,803.0,--,47.0,44.0,Obama +3,156.0
194,Cook,2008-05-31,802.0,--,44.0,43.0,Obama +1,157.0
195,Pew Research,2008-05-25,1242.0,--,47.0,44.0,Obama +3,163.0
196,Newsweek,2008-05-22,1205.0,--,46.0,46.0,Tie,166.0
197,Reuters,2008-05-18,1076.0,--,48.0,40.0,Obama +8,170.0
198,IBD,2008-05-18,953.0,3.2,48.0,37.0,Obama +11,170.0
199,Rasmussen Reports,2008-05-16,3000.0,2.0,44.0,45.0,McCain +1,172.0
200,Gallup,2008-05-16,4385.0,2.0,44.0,47.0,McCain +3,172.0
201,Democracy Corps (D),2008-05-15,1014.0,--,48.0,46.0,Obama +2,173.0
202,Battleground,2008-05-14,1018.0,--,49.0,47.0,Obama +2,174.0
203,Quinnipiac,2008-05-12,1475.0,2.4,47.0,40.0,Obama +7,176.0
204,ABC News,2008-05-11,1122.0,--,51.0,44.0,Obama +7,177.0
205,POS,2008-05-08,800.0,--,48.0,43.0,Obama +5,180.0
206,LA Times,2008-05-08,1986.0,--,46.0,40.0,Obama +6,180.0
207,Ipsos,2008-05-04,755.0,--,46.0,42.0,Obama +4,184.0
208,USA Today,2008-05-03,803.0,--,47.0,48.0,McCain +1,185.0
209,CBS News,2008-05-03,601.0,4.0,51.0,40.0,Obama +11,185.0
210,Hotline,2008-05-03,803.0,--,47.0,43.0,Obama +4,185.0
211,CNN,2008-04-30,906.0,--,49.0,45.0,Obama +4,188.0
212,FOX News,2008-04-29,900.0,--,43.0,46.0,McCain +3,189.0
213,CBS News,2008-04-29,956.0,--,45.0,45.0,Tie,189.0
214,NBC,2008-04-28,1006.0,--,46.0,43.0,Obama +3,190.0
215,Rasmussen Reports,2008-04-27,1600.0,--,46.0,46.0,Tie,191.0
216,Pew Research,2008-04-27,1323.0,--,50.0,44.0,Obama +6,191.0
217,AP-Ipsos,2008-04-27,760.0,--,46.0,44.0,Obama +2,191.0
218,Newsweek,2008-04-25,1203.0,--,47.0,44.0,Obama +3,193.0
219,USA Today,2008-04-20,1016.0,--,47.0,44.0,Obama +3,198.0
220,Cook,2008-04-20,802.0,--,45.0,44.0,Obama +1,198.0
221,Newsweek,2008-04-17,1209.0,--,48.0,44.0,Obama +4,201.0
222,Reuters,2008-04-13,1049.0,--,45.0,45.0,Tie,205.0
223,ABC,2008-04-13,1197.0,--,49.0,44.0,Obama +5,205.0
224,Rasmussen Reports,2008-04-13,1600.0,--,42.0,49.0,McCain +7,205.0
225,AP-Ipsos,2008-04-09,749.0,--,45.0,45.0,Tie,209.0
226,Gallup,2008-04-06,4380.0,2.0,45.0,45.0,Tie,212.0
227,CBS News,2008-04-02,1196.0,--,47.0,42.0,Obama +5,216.0
228,Hotline,2008-03-31,799.0,--,44.0,46.0,McCain +2,218.0
229,Rasmussen Reports,2008-03-30,1600.0,--,42.0,47.0,McCain +5,219.0
230,NBC,2008-03-25,800.0,--,44.0,42.0,Obama +2,224.0
231,Pew Research,2008-03-22,1.0,--,49.0,43.0,Obama +6,227.0
232,FOX News,2008-03-19,900.0,--,43.0,44.0,McCain +1,230.0
233,CBS News,2008-03-18,,--,48.0,43.0,Obama +5,231.0
234,CNN,2008-03-16,950.0,--,47.0,46.0,Obama +1,233.0
235,USA Today,2008-03-15,685.0,--,49.0,47.0,Obama +2,234.0
236,Reuters,2008-03-14,1004.0,--,40.0,46.0,McCain +6,235.0
237,NBC,2008-03-10,1.0,--,47.0,44.0,Obama +3,239.0
238,Cook,2008-03-09,802.0,--,43.0,45.0,McCain +2,240.0
239,Newsweek,2008-03-06,1.0,--,46.0,45.0,Obama +1,243.0
240,ABC,2008-03-02,,--,53.0,42.0,Obama +11,247.0
241,Cook,2008-03-02,802.0,--,47.0,38.0,Obama +9,247.0
242,LA Times,2008-02-25,,--,42.0,44.0,McCain +2,253.0
243,AP-Ipsos,2008-02-24,755.0,--,51.0,41.0,Obama +10,254.0
244,USA Today,2008-02-24,1653.0,--,47.0,48.0,McCain +1,254.0
245,Pew Research,2008-02-24,1240.0,--,50.0,43.0,Obama +7,254.0
246,CBS News,2008-02-24,1115.0,--,50.0,38.0,Obama +12,254.0
247,FOX News,2008-02-20,900.0,--,47.0,43.0,Obama +4,258.0
248,Hotline,2008-02-17,803.0,--,48.0,40.0,Obama +8,261.0
249,Reuters,2008-02-16,928.0,--,47.0,40.0,Obama +7,262.0
250,USA Today,2008-02-10,706.0,--,50.0,46.0,Obama +4,268.0
251,AP-Ipsos,2008-02-10,1.0,--,48.0,42.0,Obama +6,268.0
252,Time,2008-02-04,958.0,--,48.0,41.0,Obama +7,274.0
253,CNN,2008-02-03,974.0,--,52.0,44.0,Obama +8,275.0
254,Cook,2008-02-02,855.0,--,45.0,43.0,Obama +2,276.0
255,ABC,2008-02-01,1249.0,--,49.0,46.0,Obama +3,277.0
256,FOX News,2008-01-31,900.0,--,44.0,43.0,Obama +1,278.0
257,NPR,2008-01-31,1000.0,--,47.0,48.0,McCain +1,278.0
258,Rasmussen Reports,2008-01-27,1200.0,--,41.0,47.0,McCain +6,282.0
259,NBC,2008-01-22,1008.0,--,42.0,42.0,Tie,287.0
260,LA Times,2008-01-22,1312.0,--,41.0,42.0,McCain +1,287.0
261,Rasmussen Reports,2008-01-17,800.0,--,46.0,41.0,Obama +5,292.0
262,USA Today,2008-01-13,1106.0,--,45.0,50.0,McCain +5,296.0
263,Hotline,2008-01-12,803.0,--,41.0,39.0,Obama +2,297.0
264,CNN,2008-01-10,840.0,--,49.0,48.0,Obama +1,299.0
265,Rasmussen Reports,2008-01-06,800.0,--,43.0,46.0,McCain +3,303.0
266,FOX News,2007-12-19,900.0,--,40.0,44.0,McCain +4,321.0
267,Zogby,2007-12-14,1000.0,--,47.0,43.0,Obama +4,326.0
268,CNN,2007-12-09,,--,48.0,48.0,Tie,331.0
269,Rasmussen Reports,2007-11-27,800.0,--,44.0,44.0,Tie,343.0
270,Rasmussen Reports,2007-11-17,800.0,--,46.0,43.0,Obama +3,353.0
271,Gallup,2007-11-14,897.0,--,47.0,44.0,Obama +3,356.0
272,Quinnipiac,2007-10-29,1636.0,--,43.0,43.0,Tie,372.0
273,LA Times,2007-10-22,522.0,--,44.0,36.0,Obama +8,379.0
274,FOX News,2007-09-26,900.0,--,40.0,38.0,Obama +2,405.0
275,Rasmussen Reports,2007-09-20,800.0,--,46.0,41.0,Obama +5,411.0
276,Quinnipiac,2007-08-13,1545.0,--,43.0,39.0,Obama +4,449.0
277,Rasmussen Reports,2007-08-02,800.0,--,46.0,40.0,Obama +6,460.0
278,FOX News,2007-07-18,900.0,--,47.0,37.0,Obama +10,475.0
279,Rasmussen Reports,2007-07-17,1029.0,--,47.0,38.0,Obama +9,476.0
280,Zogby,2007-07-14,1012.0,--,45.0,42.0,Obama +3,479.0
281,CNN,2007-06-24,907.0,--,48.0,44.0,Obama +4,499.0
282,Newsweek,2007-06-21,831.0,--,51.0,41.0,Obama +10,502.0
283,Rasmussen Reports,2007-06-14,800.0,--,46.0,38.0,Obama +8,509.0
284,USA Today,2007-06-14,927.0,--,48.0,46.0,Obama +2,509.0
285,Quinnipiac,2007-06-11,1.0,--,43.0,41.0,Obama +2,512.0
286,LA Times,2007-06-10,1056.0,--,47.0,35.0,Obama +12,513.0
287,Zogby,2007-05-20,993.0,--,46.0,43.0,Obama +3,534.0
288,Hotline,2007-05-20,800.0,--,42.0,39.0,Obama +3,534.0
289,Newsweek,2007-05-03,831.0,--,52.0,39.0,Obama +13,551.0
290,Marist,2007-05-01,823.0,--,39.0,46.0,McCain +7,553.0
291,Quinnipiac,2007-05-01,1166.0,--,42.0,42.0,Tie,553.0
292,Hotline,2007-04-30,801.0,--,48.0,37.0,Obama +11,554.0
293,NBC,2007-04-23,1004.0,--,45.0,39.0,Obama +6,561.0
294,Rasmussen Reports,2007-04-10,800.0,--,48.0,42.0,Obama +6,574.0
295,Time,2007-04-09,1102.0,--,47.0,42.0,Obama +5,575.0
296,LA Times,2007-04-09,603.0,--,48.0,40.0,Obama +8,575.0
297,Time,2007-03-26,1102.0,--,43.0,45.0,McCain +2,589.0
298,Rasmussen Reports,2007-03-15,800.0,--,44.0,44.0,Tie,600.0
299,Time,2007-03-12,1500.0,--,44.0,41.0,Obama +3,603.0
300,American Res. Group,2007-03-05,2104.0,--,42.0,46.0,McCain +4,610.0
301,Newsweek,2007-03-01,1202.0,--,45.0,43.0,Obama +2,614.0
302,Time,2007-02-26,1144.0,--,46.0,42.0,Obama +4,617.0
303,Zogby,2007-02-24,1078.0,--,44.0,40.0,Obama +4,619.0
304,Quinnipiac,2007-02-19,1536.0,--,43.0,43.0,Tie,624.0
305,Marist,2007-02-15,978.0,--,41.0,44.0,McCain +3,628.0
306,USA Today,2007-02-11,936.0,--,48.0,48.0,Tie,632.0
307,Rasmussen Reports,2007-02-08,800.0,--,44.0,44.0,Tie,635.0
308,Newsweek,2007-01-25,837.0,--,48.0,42.0,Obama +6,649.0
309,Time,2007-01-23,1064.0,--,42.0,49.0,McCain +7,651.0
310,ABC News,2007-01-19,1000.0,--,47.0,45.0,Obama +2,655.0
311,Rasmussen Reports,2007-01-18,800.0,--,47.0,44.0,Obama +3,656.0
312,Newsweek,2007-01-18,1003.0,--,46.0,44.0,Obama +2,656.0
313,Hotline,2007-01-14,800.0,--,38.0,43.0,McCain +5,660.0
314,Battleground,2007-01-11,500.0,--,39.0,51.0,McCain +12,663.0
315,IBD,2007-01-04,951.0,--,36.0,48.0,McCain +12,670.0
316,CNN,2006-12-17,1019.0,--,43.0,47.0,McCain +4,688.0
317,Rasmussen Reports,2006-12-13,1000.0,--,40.0,46.0,McCain +6,692.0
318,Newsweek,2006-12-07,1000.0,--,43.0,45.0,McCain +2,698.0
319,FOX News,2006-12-06,900.0,--,30.0,49.0,McCain +19,699.0
320,Rasmussen Reports,2006-11-07,1000.0,--,39.0,47.0,McCain +8,728.0
