,Poll,Date,Sample,MoE,Sanders,Clinton,Spread,Days_Out
32,Boston Herald,2016-01-24,408.0,4.9,55,39.0,Sanders +16,16.0
33,NBC,2016-01-23,568.0,4.1,57,38.0,Sanders +19,17.0
34,Suffolk University,2016-01-21,500.0,4.4,50,41.0,Sanders +9,19.0
35,FOX News,2016-01-21,400.0,5.0,56,34.0,Sanders +22,19.0
36,CBS News,2016-01-21,463.0,8.2,57,38.0,Sanders +19,19.0
37,ARG,2016-01-18,600.0,4.0,49,43.0,Sanders +6,22.0
38,Gravis Marketing,2016-01-18,472.0,4.5,46,43.0,Sanders +3,22.0
39,CNN,2016-01-18,420.0,4.8,60,33.0,Sanders +27,22.0
40,Monmouth,2016-01-10,413.0,4.8,53,39.0,Sanders +14,30.0
41,ARG,2016-01-10,400.0,5.0,47,44.0,Sanders +3,30.0
42,FOX News,2016-01-07,386.0,5.0,50,37.0,Sanders +13,33.0
43,PPP(D),2016-01-06,480.0,4.5,44,47.0,Clinton +3,34.0
44,NBC,2016-01-07,425.0,4.8,50,46.0,Sanders +4,33.0
45,ARG,2015-12-20,600.0,4.0,43,46.0,Clinton +3,51.0
46,CBS News,2015-12-17,458.0,7.5,56,42.0,Sanders +14,54.0
47,Boston Herald,2015-12-17,410.0,4.8,48,46.0,Sanders +2,54.0
48,CNN,2015-12-07,370.0,5.1,50,40.0,Sanders +10,64.0
49,PPP(D),2015-12-02,458.0,4.6,42,44.0,Clinton +2,69.0
50,CBS News,2015-11-19,561.0,6.9,52,45.0,Sanders +7,82.0
51,FOX News,2015-11-17,302.0,5.5,45,44.0,Sanders +1,84.0
52,Gravis Marketing,2015-11-11,214.0,6.7,25,46.0,Clinton +21,90.0
53,Monmouth,2015-11-01,403.0,4.9,45,48.0,Clinton +3,100.0
54,CBS,2015-10-22,499.0,7.1,54,39.0,Sanders +15,110.0
55,PPP(D),2015-10-18,393.0,4.9,33,41.0,Clinton +8,114.0
56,WBUR,2015-10-18,401.0,4.9,34,38.0,Clinton +4,114.0
57,Bloomberg,2015-10-18,400.0,4.9,41,36.0,Sanders +5,114.0
58,Boston Herald,2015-10-17,403.0,4.9,38,30.0,Sanders +8,115.0
59,Suffolk University,2015-10-15,500.0,4.4,35,37.0,Clinton +2,117.0
60,Gravis Marketing,2015-10-06,373.0,5.1,33,30.0,Sanders +3,126.0
61,NBC News,2015-09-30,404.0,4.9,42,28.0,Sanders +14,132.0
62,CNN,2015-09-23,314.0,5.5,46,30.0,Sanders +16,139.0
63,WBUR,2015-09-15,404.0,4.9,35,31.0,Sanders +4,147.0
64,Monmouth,2015-09-13,400.0,4.9,43,36.0,Sanders +7,149.0
65,CBS News,2015-09-10,548.0,7.4,52,30.0,Sanders +22,152.0
66,NBC News,2015-09-02,356.0,5.2,41,32.0,Sanders +9,160.0
67,PPP(D),2015-08-24,370.0,5.1,42,35.0,Sanders +7,169.0
68,Boston Herald,2015-08-10,442.0,4.7,44,37.0,Sanders +7,183.0
69,Gravis Marketing,2015-08-03,475.0,4.5,39,43.0,Clinton +4,190.0
70,WMUR,2015-07-30,276.0,5.9,36,42.0,Clinton +6,194.0
71,NBC News,2015-07-21,329.0,5.4,32,42.0,Clinton +10,203.0
72,CNN,2015-06-24,360.0,5.2,35,43.0,Clinton +8,230.0
73,Bloomberg,2015-06-22,400.0,4.9,24,56.0,Clinton +32,232.0
74,Suffolk University,2015-06-15,500.0,4.4,31,41.0,Clinton +10,239.0
75,Morning Consult,2015-06-08,279.0,6.0,32,44.0,Clinton +12,246.0
76,Bloomberg,2015-05-06,400.0,4.9,18,62.0,Clinton +44,279.0
77,WMUR,2015-05-03,229.0,6.5,13,51.0,Clinton +31,282.0
78,Gravis Marketing,2015-04-22,369.0,5.0,12,45.0,Clinton +21,293.0
79,PPP(D),2015-04-13,329.0,5.4,12,45.0,Clinton +22,302.0
80,Boston Herald,2015-03-25,417.0,4.7,8,47.0,Clinton +25,321.0
81,Gravis Marketing,2015-03-19,427.0,5.0,12,49.0,Clinton +29,327.0
82,NBC News,2015-02-10,309.0,5.6,13,69.0,Clinton +56,364.0
83,Bloomberg,2015-02-05,400.0,4.9,8,56.0,Clinton +41,369.0
84,Gravis Marketing,2015-02-03,384.0,--,13,44.0,Clinton +19,371.0
85,WMUR,2015-02-03,297.0,5.7,6,58.0,Clinton +44,371.0
86,Bloomberg,2015-11-18,404.0,4.9,6,62.0,Clinton +49,83.0
87,New England ColegeNE Colege,2015-11-01,583.0,4.1,7,53.0,Clinton +36,100.0
88,UMass Amherst,2015-10-15,204.0,--,11,49.0,Clinton +33,117.0
89,WMUR,2015-10-05,234.0,6.4,3,58.0,Clinton +40,127.0
90,CNN,2015-09-11,334.0,5.5,7,60.0,Clinton +49,151.0
91,WMUR,2015-07-01,257.0,6.1,5,59.0,Clinton +45,223.0
92,WMUR,2015-04-09,184.0,7.2,--,65.0,Clinton +59,306.0
93,WMUR,2015-01-26,205.0,6.8,--,74.0,Clinton +64,379.0
94,Purple StrategiesPurple Strt.,2015-01-23,334.0,5.4,--,68.0,Clinton +55,382.0
95,PPP(D),2015-01-12,502.0,4.4,--,65.0,Clinton +55,393.0
96,WMUR,2014-10-16,252.0,6.2,--,64.0,Clinton +58,481.0
97,PPP(D),2014-09-16,455.0,4.6,--,57.0,Clinton +45,511.0
98,WMUR,2014-07-29,190.0,7.1,--,62.0,Clinton +54,560.0
99,NH Journal,2014-07-16,333.0,5.4,--,65.0,Clinton +57,573.0
100,New England ColegeNE Colege,2014-05-05,314.0,5.5,--,65.0,Clinton +55,645.0
101,PPP(D),2014-04-21,368.0,5.1,--,68.0,Clinton +56,659.0
102,WMUR,2014-04-09,188.0,7.1,--,61.0,Clinton +54,671.0
103,WMUR,2014-02-05,201.0,7.0,--,63.0,Clinton +53,734.0
104,PPP(D),2014-08-12,400.0,4.9,--,55.0,Clinton +46,546.0
