,Poll,Date,Sample,MoE,Clinton (D),Trump (R),Spread,Days_Out
84,Asociated Pres-GfKAP-GfK,2016-09-16,1251.0,--,50.0,44.0,Clinton +6,53.0
85,LA Times,2016-09-19,2524.0,4.5,42.0,47.0,Trump +5,50.0
86,NBC News,2016-09-18,13320.0,1.2,50.0,45.0,Clinton +5,51.0
87,FOX News,2016-09-14,867.0,3.0,45.0,46.0,Trump +1,55.0
88,CBS News,2016-09-13,1433.0,3.0,46.0,44.0,Clinton +2,56.0
89,Economist,2016-09-13,926.0,4.0,46.0,44.0,Clinton +2,56.0
90,Quinnipiac,2016-09-13,960.0,3.2,48.0,43.0,Clinton +5,56.0
91,Reuters,2016-09-12,1127.0,3.3,40.0,39.0,Clinton +1,57.0
92,LA Times,2016-09-11,2596.0,4.5,44.0,44.0,Tie,58.0
93,NBC News,2016-09-11,16220.0,1.1,48.0,44.0,Clinton +4,58.0
94,ABC News,2016-09-08,642.0,4.5,51.0,43.0,Clinton +8,61.0
95,Economist,2016-09-06,955.0,4.7,44.0,42.0,Clinton +2,63.0
96,Reuters,2016-09-05,1084.0,3.5,40.0,38.0,Clinton +2,64.0
97,CNN,2016-09-04,786.0,3.5,48.0,49.0,Trump +1,65.0
98,NBC News,2016-09-04,32226.0,1.0,48.0,42.0,Clinton +6,65.0
99,IBD,2016-09-01,861.0,3.4,44.0,43.0,Clinton +1,68.0
100,FOX News,2016-08-30,1011.0,3.0,48.0,42.0,Clinton +6,70.0
101,PPP(D),2016-08-28,881.0,3.3,48.0,43.0,Clinton +5,72.0
102,Economist,2016-08-29,1119.0,4.0,47.0,42.0,Clinton +5,71.0
103,Reuters,2016-08-29,1404.0,3.0,40.0,39.0,Clinton +1,71.0
104,Monmouth,2016-08-28,689.0,3.7,49.0,42.0,Clinton +7,72.0
105,Suffolk University,2016-08-29,1000.0,3.0,48.0,41.0,Clinton +7,71.0
106,NBC News,2016-08-28,24104.0,1.0,48.0,42.0,Clinton +6,72.0
107,LA Times,2016-08-28,2460.0,4.5,44.0,44.0,Tie,72.0
108,Reuters,2016-08-24,1049.0,3.5,42.0,35.0,Clinton +7,76.0
109,Economist,2016-08-23,906.0,4.1,47.0,44.0,Clinton +3,77.0
110,Quinnipiac,2016-08-24,1498.0,2.5,51.0,41.0,Clinton +10,76.0
111,NBC News,2016-08-21,17459.0,1.1,50.0,42.0,Clinton +8,79.0
112,Reuters,2016-08-17,1049.0,3.5,41.0,36.0,Clinton +5,83.0
113,Economist,2016-08-16,911.0,4.2,47.0,41.0,Clinton +6,84.0
114,Gravis Marketing,2016-08-15,1143.0,2.9,54.0,46.0,Clinton +8,85.0
115,NBC News,2016-08-14,15179.0,1.2,50.0,41.0,Clinton +9,86.0
116,LA Times,2016-08-12,2325.0,--,46.0,42.0,Clinton +4,88.0
117,Reuters,2016-08-10,974.0,3.5,42.0,36.0,Clinton +6,90.0
118,Economist,2016-08-09,911.0,4.2,48.0,41.0,Clinton +7,91.0
119,Bloomberg,2016-08-08,749.0,3.6,50.0,44.0,Clinton +6,92.0
120,ABC News,2016-08-04,815.0,4.0,50.0,42.0,Clinton +8,96.0
121,LA Times,2016-08-05,2175.0,--,45.0,44.0,Clinton +1,95.0
122,IBD,2016-08-04,851.0,3.4,46.0,39.0,Clinton +7,96.0
123,McClatchy,2016-08-03,983.0,3.1,48.0,33.0,Clinton +15,97.0
124,NBC News,2016-08-03,800.0,3.5,47.0,38.0,Clinton +9,97.0
125,NBC News,2016-08-07,11480.0,1.2,51.0,41.0,Clinton +10,93.0
126,FOX News,2016-08-02,1022.0,3.0,49.0,39.0,Clinton +10,98.0
127,Economist,2016-08-01,933.0,4.1,46.0,43.0,Clinton +3,99.0
128,CBS News,2016-07-31,1131.0,3.0,47.0,41.0,Clinton +6,100.0
129,Reuters,2016-08-03,1072.0,3.5,43.0,39.0,Clinton +4,97.0
130,CNN,2016-07-31,894.0,3.5,52.0,43.0,Clinton +9,100.0
131,NBC News,2016-07-31,12742.0,1.2,50.0,42.0,Clinton +8,100.0
132,PPP(D),2016-07-30,1276.0,2.7,50.0,45.0,Clinton +5,101.0
133,Reuters,2016-07-29,1050.0,3.5,40.0,35.0,Clinton +5,102.0
134,Rasmussen Reports,2016-07-27,1000.0,3.0,43.0,42.0,Clinton +1,104.0
135,Economist,2016-07-24,1057.0,4.5,47.0,42.0,Clinton +5,107.0
136,CNN,2016-07-24,882.0,3.5,45.0,48.0,Trump +3,107.0
137,LA Times,2016-07-26,2150.0,--,40.0,47.0,Trump +7,105.0
138,CBS News,2016-07-24,1118.0,4.0,43.0,44.0,Trump +1,107.0
139,NBC News,2016-07-24,12931.0,1.2,46.0,45.0,Clinton +1,107.0
140,Gravis Marketing,2016-07-22,3462.0,1.7,49.0,51.0,Trump +2,109.0
141,Rasmussen Reports,2016-07-19,1000.0,3.0,42.0,43.0,Trump +1,112.0
142,Reuters,2016-07-20,1232.0,3.2,40.0,36.0,Clinton +4,111.0
143,Economist,2016-07-17,925.0,4.5,45.0,41.0,Clinton +4,114.0
144,NBC News,2016-07-17,9436.0,1.4,46.0,45.0,Clinton +1,114.0
145,CNN,2016-07-16,872.0,3.5,49.0,42.0,Clinton +7,115.0
146,ABC News,2016-07-14,816.0,4.0,47.0,43.0,Clinton +4,117.0
147,Rasmussen Reports,2016-07-13,1000.0,3.0,37.0,44.0,Trump +7,118.0
148,NBC News,2016-07-13,1000.0,3.1,46.0,41.0,Clinton +5,118.0
149,CBS News,2016-07-12,1358.0,3.0,40.0,40.0,Tie,119.0
150,Economist,2016-07-11,932.0,4.5,45.0,43.0,Clinton +2,120.0
151,McClatchy,2016-07-09,1053.0,3.0,42.0,39.0,Clinton +3,122.0
152,Rasmussen Reports,2016-07-05,1000.0,3.0,40.0,42.0,Trump +2,126.0
153,Reuters,2016-07-06,1345.0,2.8,44.0,33.0,Clinton +11,125.0
154,Economist,2016-07-04,1004.0,4.0,47.0,42.0,Clinton +5,127.0
155,Rasmussen Reports,2016-06-29,1000.0,3.0,39.0,43.0,Trump +4,132.0
156,Suffolk University,2016-06-29,1000.0,3.0,46.0,40.0,Clinton +6,132.0
157,PPP(D),2016-06-28,947.0,3.2,48.0,44.0,Clinton +4,133.0
158,Gravis Marketing,2016-06-28,2162.0,2.1,50.0,48.0,Clinton +2,133.0
159,FOX News,2016-06-28,1017.0,3.0,44.0,38.0,Clinton +6,133.0
160,Reuters,2016-06-29,1247.0,2.8,42.0,32.0,Clinton +10,132.0
161,IBD,2016-06-29,837.0,3.5,44.0,40.0,Clinton +4,132.0
162,Economist,2016-06-27,1069.0,3.9,42.0,38.0,Clinton +4,134.0
163,Quinnipiac,2016-06-27,1610.0,2.4,42.0,40.0,Clinton +2,134.0
164,Pew ResearchPew,2016-06-26,1655.0,2.7,51.0,42.0,Clinton +9,135.0
165,ABC News,2016-06-23,836.0,4.0,51.0,39.0,Clinton +12,138.0
166,NBC News,2016-06-23,1000.0,3.1,46.0,41.0,Clinton +5,138.0
167,Rasmussen Reports,2016-06-21,1000.0,3.0,44.0,39.0,Clinton +5,140.0
168,Reuters,2016-06-22,1339.0,2.8,44.0,34.0,Clinton +10,139.0
169,Economist,2016-06-20,1011.0,4.1,43.0,39.0,Clinton +4,141.0
170,CNN,2016-06-19,891.0,3.5,47.0,42.0,Clinton +5,142.0
171,Monmouth,2016-06-19,721.0,3.7,49.0,41.0,Clinton +8,142.0
172,Gravis Marketing,2016-06-16,2197.0,2.1,51.0,47.0,Clinton +4,145.0
173,Rasmussen Reports,2016-06-15,1000.0,3.0,44.0,39.0,Clinton +5,146.0
174,Reuters,2016-06-15,1323.0,2.8,41.0,32.0,Clinton +9,146.0
175,CNBC,2016-06-13,801.0,3.5,40.0,35.0,Clinton +5,148.0
176,Bloomberg,2016-06-13,750.0,3.6,49.0,37.0,Clinton +12,148.0
177,CBS News,2016-06-13,1048.0,4.0,43.0,37.0,Clinton +6,148.0
178,FOX News,2016-06-08,1004.0,3.0,42.0,39.0,Clinton +3,153.0
179,Rasmussen Reports,2016-06-07,1000.0,3.0,42.0,38.0,Clinton +4,154.0
180,Reuters,2016-06-08,1440.0,2.9,42.0,34.0,Clinton +8,153.0
181,Economist,2016-06-05,1636.0,3.6,44.0,41.0,Clinton +3,156.0
182,IBD,2016-06-05,850.0,3.3,45.0,40.0,Clinton +5,156.0
183,Rasmussen Reports,2016-06-01,1000.0,3.0,39.0,38.0,Clinton +1,160.0
184,Quinnipiac,2016-05-30,1561.0,2.5,45.0,41.0,Clinton +4,162.0
185,Rasmussen Reports,2016-05-24,1000.0,3.0,40.0,39.0,Clinton +1,168.0
186,ABC News,2016-05-19,829.0,3.5,44.0,46.0,Trump +2,173.0
187,LA Times,2016-08-20,2385.0,--,43.0,45.0,Trump +2,80.0
188,NBC News,2016-05-19,1000.0,3.1,46.0,43.0,Clinton +3,173.0
189,Rasmussen Reports,2016-05-18,1000.0,3.0,37.0,42.0,Trump +5,174.0
190,FOX News,2016-05-17,1021.0,3.0,42.0,45.0,Trump +3,175.0
191,CBS News,2016-05-17,1109.0,3.0,47.0,41.0,Clinton +6,175.0
192,Gravis Marketing,2016-05-10,1574.0,2.5,50.0,48.0,Clinton +2,182.0
193,PPP(D),2016-05-09,1222.0,3.2,47.0,41.0,Clinton +6,183.0
194,CNN,2016-05-01,890.0,3.5,54.0,41.0,Clinton +13,191.0
195,Rasmussen Reports,2016-04-28,1000.0,3.0,39.0,41.0,Trump +2,194.0
196,IBD,2016-04-28,814.0,3.5,47.0,40.0,Clinton +7,194.0
197,Rasmussen Reports,2016-04-26,1000.0,3.0,38.0,38.0,Tie,196.0
198,Suffolk University,2016-04-24,1000.0,3.0,50.0,39.0,Clinton +11,198.0
199,GWU,2016-04-20,1000.0,3.1,46.0,43.0,Clinton +3,202.0
200,FOX News,2016-04-13,1021.0,3.0,48.0,41.0,Clinton +7,209.0
201,NBC News,2016-04-14,1000.0,3.1,50.0,39.0,Clinton +11,208.0
202,CBS News,2016-04-12,1098.0,3.0,50.0,40.0,Clinton +10,210.0
203,McClatchy,2016-03-31,1066.0,3.0,50.0,41.0,Clinton +9,222.0
204,IBD,2016-04-02,819.0,3.5,47.0,35.0,Clinton +12,220.0
205,PPP(D),2016-03-26,1083.0,3.0,48.0,41.0,Clinton +7,227.0
206,FOX News,2016-03-22,1016.0,3.0,49.0,38.0,Clinton +11,231.0
207,Bloomberg,2016-03-22,815.0,3.4,54.0,36.0,Clinton +18,231.0
208,Quinnipiac,2016-03-21,1451.0,2.6,46.0,40.0,Clinton +6,232.0
209,CBS News,2016-03-20,1058.0,4.0,50.0,40.0,Clinton +10,233.0
210,CNN,2016-03-20,925.0,3.0,53.0,41.0,Clinton +12,233.0
211,Monmouth,2016-03-20,848.0,3.4,48.0,38.0,Clinton +10,233.0
212,ABC News,2016-03-06,864.0,4.0,50.0,41.0,Clinton +9,247.0
213,NBC News,2016-03-06,1200.0,2.8,51.0,38.0,Clinton +13,247.0
214,Rasmussen Reports,2016-03-01,1000.0,3.0,41.0,36.0,Clinton +5,252.0
215,CNN,2016-02-27,920.0,3.0,52.0,44.0,Clinton +8,255.0
216,FOX News,2016-02-17,1031.0,3.0,47.0,42.0,Clinton +5,265.0
217,Suffolk University,2016-02-15,1000.0,3.0,43.0,45.0,Trump +2,267.0
218,Quinnipiac,2016-02-15,1342.0,2.7,44.0,43.0,Clinton +1,267.0
219,Quinnipiac,2016-02-04,1125.0,2.9,46.0,41.0,Clinton +5,278.0
220,PPP(D),2016-02-03,1236.0,2.8,47.0,40.0,Clinton +7,279.0
221,NBC News,2016-01-13,800.0,3.5,51.0,41.0,Clinton +10,300.0
222,FOX News,2016-01-07,1006.0,3.0,44.0,47.0,Trump +3,306.0
223,Rasmussen Reports,2015-12-23,1000.0,3.0,37.0,36.0,Clinton +1,321.0
224,CNN,2015-12-21,927.0,3.0,49.0,47.0,Clinton +2,323.0
225,Quinnipiac,2015-12-20,1140.0,2.9,47.0,40.0,Clinton +7,324.0
226,FOX News,2015-12-17,1013.0,3.0,49.0,38.0,Clinton +11,327.0
227,PPP(D),2015-12-17,1267.0,2.8,46.0,43.0,Clinton +3,327.0
228,ABC News,2015-12-13,851.0,4.0,50.0,44.0,Clinton +6,331.0
229,NBC,2015-12-09,849.0,3.4,50.0,40.0,Clinton +10,335.0
230,Suffolk University,2015-12-06,1000.0,3.0,48.0,44.0,Clinton +4,338.0
231,CNN,2015-12-01,930.0,3.0,49.0,46.0,Clinton +3,343.0
232,Quinnipiac,2015-11-30,1473.0,2.6,47.0,41.0,Clinton +6,344.0
233,MSNBC,2015-12-02,2360.0,2.0,52.0,41.0,Clinton +11,342.0
234,FOX News,2015-11-19,1016.0,4.0,41.0,46.0,Trump +5,355.0
235,PPP(D),2015-11-17,1360.0,2.7,45.0,44.0,Clinton +1,357.0
236,McClatchy,2015-11-04,541.0,4.2,56.0,41.0,Clinton +15,370.0
237,Quinnipiac,2015-11-02,1144.0,2.9,46.0,43.0,Clinton +3,372.0
238,NBC News,2015-10-29,847.0,3.4,50.0,42.0,Clinton +8,376.0
239,CNN,2015-10-17,956.0,3.0,50.0,45.0,Clinton +5,388.0
240,FOX News,2015-10-12,1004.0,3.0,40.0,45.0,Trump +5,393.0
241,PPP(D),2015-10-04,1338.0,2.7,44.0,44.0,Tie,401.0
242,NBC News,2015-09-24,,--,49.0,39.0,Clinton +10,411.0
243,FOX News,2015-09-22,1013.0,3.0,46.0,42.0,Clinton +4,413.0
244,Quinnipiac,2015-09-21,1574.0,2.5,45.0,43.0,Clinton +2,414.0
245,ABC News,2015-09-10,821.0,4.0,46.0,43.0,Clinton +3,425.0
246,CNN,2015-09-08,930.0,3.0,48.0,48.0,Tie,427.0
247,MSNBC,2015-09-09,1115.0,2.9,53.0,40.0,Clinton +13,426.0
248,SurveyUSA,2015-09-03,900.0,3.3,40.0,45.0,Trump +5,432.0
249,PPP(D),2015-08-30,1254.0,2.8,46.0,44.0,Clinton +2,436.0
250,Quinnipiac,2015-08-25,1563.0,2.5,45.0,41.0,Clinton +4,441.0
251,CNN,2015-08-16,897.0,3.5,51.0,45.0,Clinton +6,450.0
252,FOX News,2015-08-13,1008.0,3.0,47.0,42.0,Clinton +5,453.0
253,Quinnipiac,2015-07-28,1644.0,2.4,48.0,36.0,Clinton +12,469.0
254,McClatchy,2015-07-28,964.0,3.2,54.0,38.0,Clinton +16,469.0
255,CNN,2015-07-25,898.0,3.5,56.0,40.0,Clinton +16,472.0
256,PPP(D),2015-07-21,1087.0,3.0,50.0,37.0,Clinton +13,476.0
257,Suffolk University,2015-07-12,1000.0,3.0,51.0,34.0,Clinton +17,485.0
258,CNN,2015-06-28,890.0,3.5,59.0,35.0,Clinton +24,499.0
259,FOX News,2015-06-23,1005.0,3.0,51.0,34.0,Clinton +17,504.0
260,Quinnipiac,2015-05-26,1711.0,2.4,50.0,32.0,Clinton +18,532.0
