,Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread,Days_Out
125,Economist,2020-07-28,1260.0,3.4,49.0,40.0,Biden +9,98.0
126,IBD,2020-07-28,1160.0,3.1,48.0,41.0,Biden +7,98.0
127,Rasmussen Reports,2020-07-28,2500.0,2.0,48.0,42.0,Biden +6,98.0
128,CNBC,2020-07-26,1039.0,3.0,51.0,42.0,Biden +9,100.0
129,CBS News,2020-07-24,1401.0,--,51.0,41.0,Biden +10,102.0
130,Harvard-Harris,2020-07-23,1932.0,--,55.0,45.0,Biden +10,103.0
131,Economist,2020-07-21,1222.0,3.2,48.0,41.0,Biden +7,105.0
132,Rasmussen Reports,2020-07-21,2500.0,2.0,47.0,45.0,Biden +2,105.0
133,The Hill,2020-07-20,2829.0,1.8,45.0,38.0,Biden +7,106.0
134,FOX News,2020-07-15,1104.0,3.0,49.0,41.0,Biden +8,111.0
135,ABC News,2020-07-15,673.0,--,54.0,44.0,Biden +10,111.0
136,Economist,2020-07-14,1252.0,3.3,49.0,40.0,Biden +9,112.0
137,CNBC,2020-07-12,1258.0,2.8,51.0,41.0,Biden +10,114.0
138,Rasmussen Reports,2020-07-14,1500.0,2.0,47.0,44.0,Biden +3,112.0
139,Quinnipiac,2020-07-13,1273.0,2.8,52.0,37.0,Biden +15,113.0
140,NBC News,2020-07-12,900.0,3.3,51.0,40.0,Biden +11,114.0
141,Economist,2020-07-07,1165.0,3.6,49.0,40.0,Biden +9,119.0
142,Rasmussen Reports,2020-07-07,1500.0,2.5,50.0,40.0,Biden +10,119.0
143,The Hill,2020-07-04,933.0,3.2,43.0,39.0,Biden +4,122.0
144,Economist,2020-06-30,1198.0,3.4,49.0,40.0,Biden +9,126.0
145,IBD,2020-06-30,1005.0,3.1,48.0,40.0,Biden +8,126.0
146,Monmouth,2020-06-30,733.0,3.6,53.0,41.0,Biden +12,126.0
147,CNBC,2020-06-28,1663.0,1.6,49.0,41.0,Biden +8,128.0
148,Suffolk University,2020-06-29,1000.0,3.1,53.0,41.0,Biden +12,127.0
149,NPR,2020-06-24,1515.0,3.5,52.0,44.0,Biden +8,132.0
150,The Hill,2020-06-23,951.0,3.2,43.0,39.0,Biden +4,133.0
151,Economist,2020-06-23,1230.0,3.3,49.0,41.0,Biden +8,133.0
152,CNBC,2020-06-22,800.0,3.5,47.0,38.0,Biden +9,134.0
153,NY Times,2020-06-22,1337.0,3.0,50.0,36.0,Biden +14,134.0
154,Harvard-Harris,2020-06-18,,--,56.0,44.0,Biden +12,138.0
155,Economist,2020-06-16,1160.0,3.5,50.0,41.0,Biden +9,140.0
156,FOX News,2020-06-16,1343.0,2.5,50.0,38.0,Biden +12,140.0
157,Quinnipiac,2020-06-15,1332.0,2.7,49.0,41.0,Biden +8,141.0
158,CNBC,2020-06-12,1250.0,2.8,51.0,41.0,Biden +10,144.0
159,Economist,2020-06-09,1241.0,3.4,49.0,41.0,Biden +8,147.0
160,CNN,2020-06-05,1125.0,3.6,55.0,41.0,Biden +14,151.0
161,NPR,2020-06-03,958.0,4.0,50.0,43.0,Biden +7,153.0
162,Emerson,2020-06-03,1431.0,2.5,53.0,47.0,Biden +6,153.0
163,The Hill,2020-06-04,2827.0,1.8,47.0,37.0,Biden +10,152.0
164,IBD,2020-06-03,964.0,2.9,45.0,42.0,Biden +3,153.0
165,NBC News,2020-06-02,1000.0,3.1,49.0,42.0,Biden +7,154.0
166,Economist,2020-06-02,1244.0,3.2,47.0,40.0,Biden +7,154.0
167,CNBC,2020-05-31,1457.0,2.6,48.0,41.0,Biden +7,156.0
168,Monmouth,2020-06-01,742.0,3.6,52.0,41.0,Biden +11,155.0
169,CBS News,2020-06-01,1486.0,2.6,47.0,43.0,Biden +4,155.0
170,ABC News,2020-05-28,835.0,4.0,53.0,43.0,Biden +10,159.0
171,Economist,2020-05-26,1157.0,3.4,45.0,42.0,Biden +3,161.0
172,FOX News,2020-05-20,1207.0,3.0,48.0,40.0,Biden +8,167.0
173,Rasmussen Reports,2020-05-19,1000.0,3.0,48.0,43.0,Biden +5,168.0
174,Economist,2020-05-19,1235.0,3.2,47.0,42.0,Biden +5,168.0
175,CNBC,2020-05-17,1424.0,2.6,48.0,45.0,Biden +3,170.0
176,Quinnipiac,2020-05-18,1323.0,2.7,50.0,39.0,Biden +11,169.0
177,The Hill,2020-05-14,950.0,3.2,42.0,41.0,Biden +1,173.0
178,Harvard-Harris,2020-05-14,1854.0,2.0,53.0,47.0,Biden +6,173.0
179,Economist,2020-05-12,1175.0,3.4,47.0,43.0,Biden +4,175.0
180,CNN,2020-05-10,1001.0,3.7,51.0,46.0,Biden +5,177.0
181,Economist,2020-05-05,1209.0,3.3,46.0,42.0,Biden +4,182.0
182,CNBC,2020-05-03,1489.0,2.5,47.0,44.0,Biden +3,184.0
183,Monmouth,2020-05-04,739.0,3.6,50.0,41.0,Biden +9,183.0
184,CBS News,2020-05-01,1671.0,2.5,49.0,43.0,Biden +6,186.0
185,IBD,2020-04-29,948.0,3.3,43.0,43.0,Tie,188.0
186,Emerson,2020-04-28,1200.0,2.8,48.0,42.0,Biden +6,189.0
187,Economist,2020-04-28,1222.0,3.2,47.0,41.0,Biden +6,189.0
188,Suffolk University,2020-04-25,1000.0,3.0,50.0,40.0,Biden +10,192.0
189,Economist,2020-04-21,1144.0,3.4,48.0,42.0,Biden +6,196.0
190,The Hill,2020-04-20,958.0,3.2,42.0,40.0,Biden +2,197.0
191,NBC News,2020-04-15,900.0,3.3,49.0,42.0,Biden +7,202.0
192,Harvard-Harris,2020-04-16,,--,53.0,47.0,Biden +6,201.0
193,Economist,2020-04-14,1166.0,3.4,48.0,43.0,Biden +5,203.0
194,Monmouth,2020-04-07,743.0,3.6,48.0,44.0,Biden +4,210.0
195,FOX News,2020-04-07,1107.0,3.0,42.0,42.0,Tie,210.0
196,Economist,2020-04-07,1147.0,3.3,48.0,42.0,Biden +6,210.0
197,CNBC,2020-04-06,604.0,4.0,44.0,39.0,Biden +5,211.0
198,CNN,2020-04-06,875.0,3.9,53.0,42.0,Biden +11,211.0
199,Quinnipiac,2020-04-06,2077.0,2.2,49.0,41.0,Biden +8,211.0
200,IBD,2020-04-01,980.0,3.2,47.0,41.0,Biden +6,216.0
201,Economist,2020-03-31,1194.0,3.2,46.0,42.0,Biden +4,217.0
202,Grinnell,2020-03-30,777.0,3.5,47.0,43.0,Biden +4,218.0
203,Harvard-Harris,2020-03-26,2410.0,2.0,55.0,45.0,Biden +10,222.0
204,ABC News,2020-03-25,845.0,3.5,49.0,47.0,Biden +2,223.0
205,Economist,2020-03-24,1170.0,3.4,46.0,42.0,Biden +4,224.0
206,FOX News,2020-03-24,1011.0,3.0,49.0,40.0,Biden +9,224.0
207,Monmouth,2020-03-22,754.0,3.6,48.0,45.0,Biden +3,226.0
208,Emerson,2020-03-19,1100.0,2.9,53.0,47.0,Biden +6,229.0
209,Economist,2020-03-17,1129.0,3.5,48.0,41.0,Biden +7,231.0
210,NBC News,2020-03-13,900.0,3.3,52.0,43.0,Biden +9,235.0
211,Economist,2020-03-10,1191.0,2.9,47.0,43.0,Biden +4,238.0
212,CNN,2020-03-07,1084.0,3.5,53.0,43.0,Biden +10,241.0
213,Quinnipiac,2020-03-08,1261.0,2.8,52.0,41.0,Biden +11,240.0
214,Harvard-Harris,2020-02-28,2592.0,--,55.0,45.0,Biden +10,249.0
215,IBD,2020-02-29,839.0,3.5,49.0,46.0,Biden +3,248.0
216,FOX News,2020-02-26,1000.0,3.0,49.0,41.0,Biden +8,251.0
217,CBS News,2020-02-22,10000.0,1.2,47.0,45.0,Biden +2,255.0
218,ABC News,2020-02-17,913.0,4.0,52.0,45.0,Biden +7,260.0
219,Emerson,2020-02-18,1250.0,2.7,48.0,52.0,Trump +4,259.0
220,NBC News,2020-02-17,900.0,3.3,52.0,44.0,Biden +8,260.0
221,NPR,2020-02-16,1164.0,3.7,50.0,44.0,Biden +6,261.0
222,Quinnipiac,2020-02-09,1519.0,2.5,50.0,43.0,Biden +7,268.0
223,NBC News,2020-01-29,1000.0,3.1,50.0,44.0,Biden +6,279.0
224,IBD,2020-01-30,856.0,3.3,49.0,48.0,Biden +1,278.0
225,Emerson,2020-01-23,1128.0,2.8,50.0,50.0,Tie,285.0
226,ABC News,2020-01-23,880.0,4.0,50.0,46.0,Biden +4,285.0
227,LA Times,2020-01-28,4869.0,2.0,49.0,40.0,Biden +9,280.0
228,FOX News,2020-01-22,1005.0,3.0,50.0,41.0,Biden +9,286.0
229,CNN,2020-01-19,1051.0,3.6,53.0,44.0,Biden +9,289.0
230,IBD,2020-01-11,846.0,3.3,48.0,46.0,Biden +2,297.0
231,Emerson,2019-12-17,1222.0,2.7,52.0,48.0,Biden +4,322.0
232,CNN,2019-12-15,888.0,4.0,49.0,44.0,Biden +5,324.0
233,Suffolk University,2019-12-14,1000.0,3.0,41.0,44.0,Trump +3,325.0
234,IBD,2019-12-14,849.0,3.5,50.0,45.0,Biden +5,325.0
235,FOX News,2019-12-11,1000.0,3.0,48.0,41.0,Biden +7,328.0
236,Quinnipiac,2019-12-09,1553.0,2.5,51.0,42.0,Biden +9,330.0
237,SurveyUSA,2019-11-21,3850.0,1.7,52.0,39.0,Biden +13,348.0
238,Emerson,2019-11-20,1092.0,2.9,49.0,51.0,Trump +2,349.0
239,NBC News,2019-10-30,720.0,3.7,50.0,41.0,Biden +9,370.0
240,ABC News,2019-10-30,876.0,4.0,56.0,39.0,Biden +17,370.0
241,FOX News,2019-10-30,1040.0,3.0,51.0,39.0,Biden +12,370.0
242,IBD,2019-10-31,863.0,3.5,53.0,43.0,Biden +10,369.0
243,Emerson,2019-10-21,1000.0,3.0,51.0,49.0,Biden +2,379.0
244,CNN,2019-10-20,892.0,4.0,53.0,43.0,Biden +10,380.0
245,SurveyUSA,2019-10-16,3080.0,2.1,52.0,41.0,Biden +11,384.0
246,FOX News,2019-10-08,1003.0,3.0,50.0,40.0,Biden +10,392.0
247,Quinnipiac,2019-10-07,1483.0,3.1,51.0,40.0,Biden +11,393.0
248,IBD,2019-10-03,863.0,3.5,51.0,44.0,Biden +7,397.0
249,Rasmussen Reports,2019-09-24,1000.0,3.0,43.0,47.0,Trump +4,406.0
250,Emerson,2019-09-23,1019.0,3.0,50.0,49.0,Biden +1,407.0
251,FOX News,2019-09-17,1008.0,3.0,52.0,38.0,Biden +14,413.0
252,SurveyUSA,2019-09-16,4520.0,1.6,49.0,41.0,Biden +8,414.0
253,ABC News,2019-09-05,877.0,4.0,55.0,40.0,Biden +15,425.0
254,IBD,2019-08-30,848.0,3.5,54.0,42.0,Biden +12,431.0
255,Emerson,2019-08-26,1458.0,2.5,54.0,46.0,Biden +8,435.0
256,Quinnipiac,2019-08-26,1422.0,4.6,54.0,38.0,Biden +16,435.0
257,FOX News,2019-08-13,1013.0,3.0,50.0,38.0,Biden +12,448.0
258,SurveyUSA,2019-08-05,5459.0,1.6,50.0,42.0,Biden +8,456.0
259,IBD,2019-08-01,856.0,3.5,54.0,41.0,Biden +13,460.0
260,Emerson,2019-07-29,1233.0,2.7,51.0,49.0,Biden +2,463.0
261,FOX News,2019-07-23,1004.0,3.0,49.0,39.0,Biden +10,469.0
262,NBC News,2019-07-09,800.0,3.5,51.0,42.0,Biden +9,483.0
263,Emerson,2019-07-08,1100.0,2.9,53.0,47.0,Biden +6,484.0
264,ABC News,2019-07-01,875.0,4.0,53.0,43.0,Biden +10,491.0
265,Rasmussen Reports,2019-07-02,4500.0,1.5,48.0,44.0,Biden +4,490.0
266,Emerson,2019-06-24,1096.0,2.9,55.0,45.0,Biden +10,498.0
267,FOX News,2019-06-12,1001.0,3.0,49.0,39.0,Biden +10,510.0
268,Quinnipiac,2019-06-10,1214.0,3.5,53.0,40.0,Biden +13,512.0
269,FOX News,2019-05-14,1001.0,3.0,49.0,38.0,Biden +11,539.0
270,Emerson,2019-05-13,1006.0,3.0,54.0,46.0,Biden +8,540.0
271,CNN,2019-04-29,470.0,5.5,51.0,45.0,Biden +6,554.0
272,The Hill,2019-04-26,1000.0,3.1,43.0,37.0,Biden +6,557.0
273,Morning Consult,2019-04-21,1992.0,2.0,42.0,34.0,Biden +8,562.0
274,Emerson,2019-04-14,914.0,3.2,53.0,47.0,Biden +6,569.0
275,PPP(D),2019-03-28,846.0,3.4,53.0,40.0,Biden +13,586.0
276,Rasmussen Reports,2019-03-21,5000.0,1.5,49.0,44.0,Biden +5,593.0
277,FOX News,2019-03-20,1002.0,3.0,47.0,40.0,Biden +7,594.0
278,Emerson,2019-03-18,1153.0,2.8,55.0,45.0,Biden +10,596.0
279,Emerson,2019-02-16,1000.0,3.3,55.0,45.0,Biden +10,626.0
280,PPP(D),2019-01-21,760.0,3.6,53.0,41.0,Biden +12,652.0
281,PPP(D),2018-06-10,679.0,3.8,53.0,39.0,Biden +14,877.0
282,PPP(D),2018-03-25,846.0,3.4,56.0,39.0,Biden +17,954.0
283,PPP(D),2018-02-11,687.0,3.7,51.0,42.0,Biden +9,996.0
284,CNN,2018-01-18,918.0,3.8,57.0,40.0,Biden +17,1020.0
285,PPP(D),2018-12-12,862.0,3.3,54.0,40.0,Biden +14,692.0
286,PPP(D),2018-10-29,572.0,4.1,56.0,38.0,Biden +18,736.0
287,Emerson,2018-10-14,820.0,3.4,51.0,42.0,Biden +9,751.0
288,PPP(D),2018-09-25,865.0,3.3,53.0,40.0,Biden +13,770.0
289,PPP(D),2018-08-21,887.0,3.3,51.0,39.0,Biden +12,805.0
290,PPP(D),2018-07-17,836.0,3.4,54.0,39.0,Biden +15,840.0
291,PPP(D),2018-06-11,811.0,3.4,54.0,41.0,Biden +13,876.0
292,PPP(D),2018-05-14,692.0,3.7,54.0,40.0,Biden +14,904.0
293,PPP(D),2018-04-18,648.0,3.9,54.0,40.0,Biden +14,930.0
294,PPP(D),2018-03-28,677.0,3.8,54.0,40.0,Biden +14,951.0
